eco:b0729 ['sucD'] [('NCBI-GeneID', ['945314']), ('NCBI-ProteinID', ['NP_415257']), ('Pasteur', ['sucD']), ('RegulonDB', ['ECK120000971']), ('ECOCYC', ['EG10982']), ('ASAP', ['ABE-0002485']), ('UniProt', ['P0AGE9'])]
eco:b0724 ['sdhB'] [('NCBI-GeneID', ['945300']), ('NCBI-ProteinID', ['NP_415252']), ('Pasteur', ['sdhB']), ('RegulonDB', ['ECK120000921']), ('ECOCYC', ['EG10932']), ('ASAP', ['ABE-0002468']), ('UniProt', ['P07014'])]
eco:b0726 ['sucA'] [('NCBI-GeneID', ['945303']), ('NCBI-ProteinID', ['NP_415254']), ('Pasteur', ['sucA']), ('RegulonDB', ['ECK120000968']), ('ECOCYC', ['EG10979']), ('ASAP', ['ABE-0002478']), ('UniProt', ['P0AFG3'])]
eco:b1136 ['icd'] [('NCBI-GeneID', ['945702']), ('NCBI-ProteinID', ['NP_415654']), ('Pasteur', ['icd']), ('RegulonDB', ['ECK120000482']), ('ECOCYC', ['EG10489']), ('ASAP', ['ABE-0003823']), ('UniProt', ['P08200'])]
eco:b0727 ['sucB'] [('NCBI-GeneID', ['945307']), ('NCBI-ProteinID', ['NP_415255']), ('Pasteur', ['sucB']), ('RegulonDB', ['ECK120000969']), ('ECOCYC', ['EG10980']), ('ASAP', ['ABE-0002480']), ('UniProt', ['P0AFG6'])]
eco:b1276 ['acnA'] [('NCBI-GeneID', ['946724']), ('NCBI-ProteinID', ['NP_415792']), ('Pasteur', ['acnA']), ('RegulonDB', ['ECK120001296']), ('ECOCYC', ['EG11325']), ('ASAP', ['ABE-0004283']), ('UniProt', ['P25516'])]
eco:b1207 ['prs'] [('NCBI-GeneID', ['945772']), ('NCBI-ProteinID', ['NP_415725']), ('Pasteur', ['prs']), ('RegulonDB', ['ECK120000765']), ('ECOCYC', ['EG10774']), ('ASAP', ['ABE-0004054']), ('UniProt', ['P0A717'])]
eco:b2935 ['tktA'] [('NCBI-GeneID', ['947420']), ('NCBI-ProteinID', ['YP_026188']), ('Pasteur', ['tktA']), ('RegulonDB', ['ECK120001391']), ('ECOCYC', ['EG11427']), ('ASAP', ['ABE-0009625']), ('UniProt', ['P27302'])]
eco:b4381 ['deoC'] [('NCBI-GeneID', ['948902']), ('NCBI-ProteinID', ['NP_418798']), ('Pasteur', ['deoC']), ('RegulonDB', ['ECK120000215']), ('ECOCYC', ['EG10221']), ('ASAP', ['ABE-0014371']), ('UniProt', ['P0A6L0'])]
eco:b3526 ['kdgK'] [('NCBI-GeneID', ['948041']), ('NCBI-ProteinID', ['NP_417983']), ('Pasteur', ['kdgK']), ('RegulonDB', ['ECK120002135']), ('ECOCYC', ['EG12253']), ('ASAP', ['ABE-0011519']), ('UniProt', ['P37647'])]
eco:b1851 ['edd'] [('NCBI-GeneID', ['946362']), ('NCBI-ProteinID', ['NP_416365']), ('Pasteur', ['edd']), ('RegulonDB', ['ECK120000251']), ('ECOCYC', ['EG10257']), ('ASAP', ['ABE-0006166']), ('UniProt', ['P0ADF6'])]
