,ec,in_degree,out_degree,eigenvector_centrality,closeness centrality,Betweenness centrality,pagerank,hits,class
526,eco:b0529,0.00331858407079646,0.00331858407079646,0.00012936750946518103,0.09364056715221449,0.0014846914863717747,0.000727626706023311,4.2000274718980165e-06,1
527,eco:b1606,0.004424778761061947,0.0055309734513274336,1.0473771682440748e-05,0.08362366773891215,0.0012766359699590039,0.0009207039719179042,3.340642043732664e-07,2
528,eco:b2912,0.00331858407079646,0.00331858407079646,0.00012936750946518103,0.09364056715221449,0.0016577100748534567,0.000727626706023311,1.6013139172540744e-05,2
529,eco:b3288,0.0055309734513274336,0.0,1.1173593150745883e-05,0.0830537264605964,0.0,0.0009088342975463928,0.0,1
530,eco:b0048,0.00331858407079646,0.0055309734513274336,1.5172862490634615e-06,0.07609146328397866,0.0,0.0006999335042327487,3.758233970334148e-07,1
531,eco:b3941,0.0022123893805309734,0.0011061946902654867,0.00012853716397302485,0.09270139922207428,0.00019136474837665822,0.0005772925700942619,1.3833711177638074e-05,2
532,eco:b0356,0.0,0.0011061946902654867,2.6409836822869435e-27,0.0,0.0,0.00025228927695075155,2.4087468343956283e-55,2
533,eco:b2154,0.0,0.0011061946902654867,2.6409836822869435e-27,0.0,0.0,0.00025228927695075155,2.4087468343956283e-55,2
534,eco:b0420,0.02654867256637168,0.03650442477876106,0.19958690178074115,0.1499321294669999,0.05933212969236369,0.0035114122467765183,0.03433323653288836,1
535,eco:b0383,0.00995575221238938,0.008849557522123894,0.0031238577787053054,0.10832738482000409,0.007549426453108666,0.0028086749856959703,0.0002074971764437583,2
536,eco:b3993,0.00663716814159292,0.00663716814159292,0.002058116669093915,0.10361283988223932,0.004477624907946764,0.002557043022042046,7.54797581414054e-05,2
537,eco:b1106,0.004424778761061947,0.004424778761061947,0.002046374012516489,0.10337425768514205,0.0,0.0016047715943860751,7.514868693227387e-05,2
538,eco:b0417,0.007743362831858407,0.007743362831858407,0.016076411164063057,0.12314174896662688,0.0046148347841941,0.0028539722683581675,0.0017337730538085395,1
539,eco:b3990,0.00331858407079646,0.00331858407079646,0.0006418225048815757,0.10043392245536331,0.0017589848540160466,0.0006481141252613145,0.0003465289813327437,2
540,eco:b2103,0.0022123893805309734,0.0022123893805309734,0.00011315500945496365,0.0887483036890234,0.001913440948752462,0.0010631981216759122,9.431184554297022e-06,2
541,eco:b4161,0.007743362831858407,0.007743362831858407,0.016076411164063057,0.12314174896662688,0.0046148347841941,0.0028539722683581675,0.0017337730538085395,1
542,eco:b3994,0.00331858407079646,0.00331858407079646,6.271540032009282e-06,0.07819301900045579,0.000802415811433227,0.0015841837060192334,1.9183090340994863e-07,2
543,eco:b0423,0.00331858407079646,0.00331858407079646,0.0018080397283024535,0.11088840626776,0.0014606155937651826,0.0011870851456451327,0.00022604699574867978,2
544,eco:b3992,0.0011061946902654867,0.0011061946902654867,9.914802473099612e-05,0.09336237176554718,0.0,0.0005887320719590815,1.0435525609009581e-05,2
545,eco:b2530,0.00995575221238938,0.00995575221238938,0.021167833203147666,0.12868867459575423,0.001575782470386099,0.001981118420372534,0.002758739102668651,2
546,eco:b3991,0.004424778761061947,0.004424778761061947,0.01171015099089288,0.12063636981298727,0.0033844292792431013,0.0011618160645264688,0.0014118276868018886,2
