,ec,eigenvector_centrality,subgraph_centrality,clustering_coefficient,class
235,eco:b1010,2.1565623795763376e-06,8.07063113665228e-11,1.0,2
236,eco:b3831,0.00042443300898848654,3.9404229843390636e-07,0.5606060606060606,2
237,eco:b1009,4.420872961189005e-05,2.519499119511603e-09,0.4,2
238,eco:b1539,0.000693503677262261,4.893500536982794e-07,0.4,2
239,eco:b1008,4.3790189751982775e-05,2.4092639048230825e-09,1.0,2
240,eco:b2498,0.0010939145804668364,1.4523656525166016e-06,0.5151515151515151,2
241,eco:b1062,1.277988973420535e-06,6.111332967176953e-11,0.0,2
242,eco:b2165,0.00015689667859002384,7.856201705973895e-08,0.7142857142857143,2
243,eco:b0945,1.9894020076344443e-06,7.030647069332655e-11,0.0,2
244,eco:b1281,0.0009821311848930432,1.0648267889893473e-06,0.6666666666666666,2
245,eco:b0171,0.0025496786407962313,6.64786581417527e-06,0.5,1
246,eco:b2291,0.0005319838803432677,4.2730610941916474e-07,0.4888888888888889,2
247,eco:b2166,6.469261104898043e-06,4.0853737430201436e-10,0.0,2
248,eco:b3517,0.0038081066621759325,1.6178686583958835e-05,0.3261538461538461,2
249,eco:b0674,0.0005042631653737868,2.9658965932947296e-07,0.75,2
250,eco:b1014,0.0034360657390329332,1.319628228464508e-05,0.6416666666666667,2
251,eco:b3744,0.00046767274496196915,2.5104160425346174e-07,0.8095238095238095,2
252,eco:b2662,0.00033417796710573513,1.3398665607671674e-07,0.21818181818181817,2
253,eco:b2957,0.0005042631653737868,2.965896593294695e-07,0.75,2
254,eco:b2661,0.00118977342453051,1.4233888883017495e-06,0.6666666666666666,2
255,eco:b2574,0.004461234475498562,1.9949289476059613e-05,0.36666666666666664,2
256,eco:b1525,0.00118977342453051,1.4233888883017512e-06,0.6666666666666666,2
257,eco:b0219,0.005107475161953263,2.6183021130898324e-05,0.4666666666666667,2
258,eco:b3213,0.004159077482328762,1.8871172935592583e-05,0.5751633986928104,2
259,eco:b4139,0.0015883262853813365,2.5641156166555434e-06,0.4696969696969697,2
260,eco:b3729,0.00025416607718414623,1.508681960923741e-07,0.7272727272727273,1
261,eco:b2366,0.19479381436678878,0.03794277947180017,0.9466666666666667,2
262,eco:b3772,0.172636807252975,0.029801566531968995,0.6068376068376068,2
263,eco:b2551,0.01878336460834585,0.000352895270483329,0.4666666666666667,2
264,eco:b2905,0.004540918265219908,2.087181003890829e-05,0.43956043956043955,2
265,eco:b4388,0.01487892852480786,0.00022135792779959918,0.26666666666666666,2
266,eco:b4471,0.169324670138894,0.028669237088853255,0.8102766798418972,2
267,eco:b0311,2.1323422372457636e-05,5.304567655872776e-10,0.0,2
268,eco:b0312,8.692778641576911e-07,3.6453965244049476e-11,0.0,2
269,eco:b2903,0.004677199847993603,2.214559891564091e-05,0.9777777777777777,2
270,eco:b3616,0.000988421745319437,9.837426180384938e-07,0.6666666666666666,2
271,eco:b3617,0.004743131705360582,2.2779922014001145e-05,0.696969696969697,2
272,eco:b0870,0.01183594464472331,0.00014028141704302654,0.47619047619047616,2
273,eco:b0004,0.007658287067028854,5.864101053721935e-05,0.19047619047619047,2
274,eco:b0907,0.0009419760893747823,8.873850408195522e-07,0.1,2
275,eco:b0003,0.0003151519018959105,9.937466009975843e-08,0.0,2
276,eco:b3940,7.246722035343204e-05,5.3219967852374534e-09,0.0,2
277,eco:b3433,2.205549962884743e-05,7.656695577491431e-10,0.0,1
278,eco:b2913,0.0001497732291874789,2.2618652961602776e-08,0.5,2
279,eco:b4024,0.00046609998724386493,2.485891822649047e-07,0.7142857142857143,2
280,eco:b3124,0.002264785640235315,5.129658890756764e-06,0.4,2
281,eco:b2585,9.566921166850901e-08,2.3110066740133466e-10,0.4,1
282,eco:b1261,4.738216466170847e-10,1.1757641695117348e-10,0.3333333333333333,2
283,eco:b1386,0.011266301194646926,0.00012694087728670652,0.6944444444444444,2
284,eco:b0031,3.7772273591878e-08,5.0702678494367903e-11,0.0,1
285,eco:b2478,9.051824956533137e-07,5.4257965139570304e-11,0.0,1
286,eco:b3607,0.0019365782930544184,3.7553027679119816e-06,0.3333333333333333,2
287,eco:b2421,0.013833834939409028,0.00019160373594540598,0.8,2
288,eco:b4019,0.010464639490764186,0.00010949332589391436,0.47619047619047616,2
289,eco:b1832,0.0006313493311758197,3.991832511683877e-07,0.8333333333333334,2
290,eco:b2942,0.0014012388433524653,1.9641868803845886e-06,0.38095238095238093,1
291,eco:b4054,0.0017870110990289804,3.19975908439697e-06,0.19230769230769232,2
292,eco:b0261,0.010899259090964184,0.00011877752935426804,0.5277777777777778,2
293,eco:b3008,0.2032198367974766,0.04129333283077402,0.46799431009957326,2
294,eco:b3939,0.03526132964926604,0.001243243493099625,0.30303030303030304,2
295,eco:b2521,0.19578091990620972,0.03832771320360094,0.8769230769230769,2
296,eco:b1919,0.16795225779113873,0.028206551138680647,0.9714285714285714,2
297,eco:b3829,0.010464639490764186,0.00010949332589391448,0.47619047619047616,2
298,eco:b2687,0.0027396250433523194,7.505066796963708e-06,0.5,2
299,eco:b4013,0.00144035826791524,2.0744897204816075e-06,0.0,2
300,eco:b0159,0.00011556809100363916,1.3474547309330615e-08,0.0,2
301,eco:b3770,0.02648949872288056,0.000701583680847482,0.20512820512820512,2
302,eco:b2688,0.016786630464877564,0.00028391399903260133,0.4743083003952569,2
303,eco:b2947,0.005671138764577372,3.273598760541574e-05,0.5166666666666667,2
304,eco:b1961,6.432621798280023e-05,4.262574598642963e-09,0.3333333333333333,2
305,eco:b0120,6.101187072744574e-05,3.86706347879042e-09,0.3333333333333333,2
306,eco:b0121,3.082058223484454e-05,2.0338401567012115e-09,0.35714285714285715,2
307,eco:b2917,0.003616200036232431,1.3112245934579048e-05,1.0,2
308,eco:b3771,0.001532992647072819,2.3500336311706764e-06,0.6,2
309,eco:b3774,0.007295386282440186,5.322076353676512e-05,0.0,2
310,eco:b3769,0.17743506466923015,0.031481587122106115,0.7076923076923077,2
311,eco:b0074,0.0012792558640591014,1.6365669308512686e-06,0.6,2
312,eco:b0072,0.0008170097992706994,6.675362635648445e-07,0.0,2
313,eco:b0073,0.01876309812151999,0.00035203090936361113,0.6,2
314,eco:b3572,0.001291615911972653,1.6683557832828993e-06,0.7,2
315,eco:b3809,4.868306336103189e-10,5.230728284089417e-11,0.0,2
