,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,class
529,eco:b0963,0.011717004719325113,0.12357912465399394,0.0027595137822353424,0.0026390165302943927,0.15062580992940097,2
530,eco:b0335,0.022232036416619853,0.12305187535287745,0.00046912265079914584,0.0006758503922276325,0.14862366505456842,2
531,eco:b3253,0.02314858403388766,0.12390583747528672,0.0002611644217749103,0.0003051287030870986,0.15100720824333472,2
532,eco:b2919,0.004304298691641879,0.10709484838623753,0.0,0.0,0.12489179904849142,2
533,eco:b0333,0.021403489482453898,0.12301150400269609,0.000647359516054943,0.0006449665063300941,0.1480795954136544,2
534,eco:b2920,0.0214854282808658,0.12548161452483858,0.00010241045071085894,0.00014770614918545004,0.1529740631753691,2
535,eco:b0334,0.0011748239661908408,0.10520627177191433,0.0,0.0,0.12041060438775378,2
536,eco:b0118,5.383711725884154e-05,0.08772556485732748,4.931424873177417e-05,5.156215551146103e-05,0.09902620351477844,2
537,eco:b0331,0.0009831078806368757,0.10166460526036271,0.0015282429237791116,0.0015056551577226223,0.12195500968623961,2
538,eco:b3115,0.008170219701577849,0.10724801607557713,0.0,0.0,0.12652400797123353,2
539,eco:b3882,0.0001391278437907779,0.09764038130214,0.0,0.0,0.11641319326303043,2
540,eco:b1241,0.006754839846422114,0.10823875987304205,0.0,0.0,0.12759915395932836,2
541,eco:b0529,3.168603770357377e-05,0.09115950989550636,0.0015226276185602544,0.0013162063670299094,0.10216449310573389,1
542,eco:b1606,1.7967320688903712e-05,0.09160495094068352,0.0011533467185298762,0.0014545399889020168,0.10468103109561243,2
543,eco:b2912,0.00028659166979689237,0.10210758828981961,0.0017473207851392706,0.001521269652167444,0.1180191679919648,2
544,eco:b3288,2.547431472898389e-27,0.0,0.0,0.0,0.0,1
545,eco:b0048,1.7967320688903712e-05,0.09160495094068352,0.0,0.0,0.10468103109561248,1
546,eco:b3941,0.0002706241759420338,0.10017073582693499,0.0,0.0,0.11451381709814822,2
547,eco:b0356,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
548,eco:b2154,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
549,eco:b0420,0.2100208739809549,0.15920979371559135,0.07406074702890171,0.07072245949974665,0.20322855116108643,1
550,eco:b0383,0.0025665360890578573,0.1137212812254224,0.007443778515219375,0.007942089611702582,0.13819006226514408,2
551,eco:b3993,0.001438206184124626,0.1097275575651793,0.004743469715061417,0.0047155859870998615,0.12903328384830037,2
552,eco:b1106,0.0014300155943827667,0.10950323136688599,0.0,0.0,0.1274736175443468,2
553,eco:b0417,0.01105555212355832,0.12973670041530022,0.004743080630539214,0.004553187163532786,0.1574504687671173,1
554,eco:b3990,0.00073526808092433,0.10992056997954197,0.0021008740778628875,0.002456456782954896,0.12599170265111545,2
555,eco:b2103,7.899807286363203e-05,0.09425315842137195,0.002061900510445024,0.0020420585904078843,0.10656635711042728,2
556,eco:b4161,0.01105555212355832,0.12973670041530022,0.004743080630539214,0.004553187163532786,0.1574504687671173,1
557,eco:b3994,4.432407388397464e-06,0.08414251889591957,0.0009170029426711473,0.0009522899300124137,0.09483505099663993,2
558,eco:b0423,0.0019616757190071936,0.11797956708628624,0.0015125662345329381,0.0015205952561489623,0.13456076024084768,2
559,eco:b3992,0.00010745126736109883,0.09961186615308651,0.0,0.0,0.10909309225413714,2
560,eco:b2530,0.023395821206155316,0.13673926484325954,0.0023860280516126574,0.00237669935050459,0.1676090926362961,2
561,eco:b3991,0.012315342383715148,0.1296021652956162,0.0037498562577765776,0.00417107315012996,0.15171088734744892,2
562,eco:b2104,7.87552576579919e-05,0.09366451766180806,0.0,0.0,0.10455718565076615,2
563,eco:b0415,5.119445569947937e-06,0.09434802823357263,0.0033457073147365774,0.003744388088259661,0.1080765539232225,1
564,eco:b1662,4.210675533590744e-06,0.09065257838496557,0.0004536217640828364,0.00045383586876898024,0.10260208340522643,1
565,eco:b1277,0.019323618929891463,0.13258099865637116,0.009562988313929368,0.010179050365403106,0.1664881092791866,1
566,eco:b0025,4.1369071926555535e-06,0.08801386483573184,7.902246055396325e-06,7.902246055396325e-06,0.09870385975727475,1
567,eco:b3041,2.9586934304397616e-05,0.09626163394100581,0.003626955862486315,0.0040002016629247135,0.11537097332319138,1
568,eco:b0937,3.7131840768130586e-06,0.08797256316288542,0.0019324869284621706,0.0022057144302125003,0.09761572047544667,2
569,eco:b0414,0.0010614086468315046,0.11252672995204611,0.008359917690906615,0.009002154984405151,0.13101359105167623,1
570,eco:b3844,3.944014681479587e-06,0.08799320915283211,0.0,0.0,0.09815979011636071,2
571,eco:b3812,5.951219095423266e-05,0.10194101799897164,0.00924067862141604,0.009927670981316956,0.11706755190161118,2
572,eco:b4055,4.1369071926555535e-06,0.08801386483573184,7.902246055396325e-06,7.902246055396325e-06,0.09870385975727472,2
573,eco:b2320,4.4178057630060556e-06,0.0858573538356349,0.001757617537418567,0.001848013563779848,0.09930309125966197,2
574,eco:b2927,6.755594603154742e-05,0.09859034031033859,0.005298800948625301,0.006387560926208543,0.11863315365283632,2
575,eco:b2418,3.0393347172749145e-16,0.003264417845484222,1.1853369083094488e-06,1.1853369083094488e-06,0.003264417845484222,2
576,eco:b1406,2.373040838414087e-16,0.0024483133841131663,0.0,0.0,0.002720348204570185,2
577,eco:b1638,3.0393347172749145e-16,0.003264417845484222,1.1853369083094488e-06,1.1853369083094488e-06,0.003264417845484222,2
578,eco:b2564,2.373040838414087e-16,0.0024483133841131663,0.0,0.0,0.002720348204570185,2
579,eco:b0052,7.422311291923439e-07,0.08035556455212552,3.2970497027344816e-05,5.7699566614485506e-05,0.08832085320995935,2
580,eco:b4390,0.0010328427718509726,0.10412081760628093,0.0011029724990980771,0.0010904053681210638,0.1360829473995963,2
581,eco:b3996,0.0006278119376000953,0.10263867073644063,8.622551210084962e-05,0.00011701391958064815,0.12816802952820394,2
582,eco:b3962,0.0005450648725001979,0.1007088542036577,0.000508976768525365,0.0004643792524196773,0.12436782930526157,2
583,eco:b1740,0.0005450648725001979,0.1007088542036577,0.0,0.0,0.12436782930526157,1
584,eco:b1768,0.00011084446543295239,0.08995658929947639,0.0,0.0,0.10903547697617351,2
585,eco:b1603,0.0005450648725001979,0.1007088542036577,0.000508976768525365,0.0004643792524196773,0.12436782930526158,2
586,eco:b0639,0.0006278119376000953,0.10263867073644063,8.622551210084962e-05,0.00011701391958064815,0.12816802952820394,1
587,eco:b0931,0.0005686774875276713,0.1029486722131295,0.001040293499558373,0.0011260315430078793,0.12907481226306067,2
588,eco:b0750,0.0003462476556186907,0.1078650932681869,0.0018705701351823796,0.002293194943806814,0.12791944182042145,2
589,eco:b2700,0.0005142602379301365,0.10252640530495423,0.0,0.0,0.1259917509645478,2
590,eco:b0109,0.0005054707232310932,0.10627524495471022,0.0019664984054707222,0.0024138692025751926,0.13053449693819683,2
591,eco:b2615,0.0005450648725001979,0.1007088542036577,0.000508976768525365,0.0004643792524196773,0.12436782930526157,1
592,eco:b3974,0.00040257134970299156,0.11050370297678092,0.0023737050056416146,0.0027638674807008647,0.1345043996023324,1
593,eco:b3634,0.0003700609734445633,0.10174737156043898,0.00010767760899202608,0.00018848503143381777,0.12228300957898383,1
594,eco:b3639,0.0003911067711584118,0.10552745966794755,0.0025454954134090575,0.002676943597242137,0.12721567212862123,1
595,eco:b0103,0.0003507324204827764,0.10006380149458705,0.0010096786439034065,0.0010119945558792842,0.12053343374072463,1
596,eco:b2563,3.858669459592387e-05,0.08661101044126071,7.902246055396325e-07,7.902246055396324e-07,0.09949338579163226,1
597,eco:b0404,0.00035285102589469383,0.10011724010686719,0.0017426736571911337,0.001740357745215256,0.12125885992861,2
598,eco:b0425,8.366568661869303e-05,0.10249837731006496,0.00018786386984248767,0.00021045558028958574,0.11868666637437082,2
599,eco:b0134,0.0009535002196817607,0.11066678400242552,0.0015190347765104686,0.0015251430137202182,0.12888077947925636,2
600,eco:b3475,1.9351619200423508e-05,0.08657101459252312,2.3706738166188977e-06,2.3706738166188977e-06,0.09876795960374687,2
601,eco:b0776,2.7287221616066132e-14,0.005764197276710879,0.0035560107249283475,0.003556010724928346,0.0075625680087051134,2
602,eco:b0774,8.330928992667779e-15,0.005077983315197678,0.0028542912752091538,0.002854291275209152,0.006565107000362713,2
603,eco:b3973,3.926105578313497e-16,0.0030467899891186076,0.0,0.0,0.004902240185156399,1
604,eco:b3412,3.716218923791929e-14,0.005764197276710879,4.069656718529107e-05,4.133862467729203e-05,0.007689517591585057,2
605,eco:b0777,3.671589861288568e-14,0.0038777327134236817,1.9261724760028543e-05,1.913472437699539e-05,0.006448520648738276,2
606,eco:b1593,2.6001630737225603e-15,0.004352557127312296,0.002147830477856722,0.0021478304778567207,0.006122078864189854,2
607,eco:b0775,9.619589057112202e-16,0.003677160331694871,0.0014366283328710525,0.0014366283328710518,0.006022332763355614,2
608,eco:b3551,3.926105578313497e-16,0.0030467899891186076,0.0,0.0,0.004902240185156399,2
609,eco:b0628,7.704064488772613e-14,0.006166122597025752,8.890026812320867e-06,8.890026812320867e-06,0.009687030416083734,2
610,eco:b0630,7.704064488772613e-14,0.006166122597025752,8.890026812320867e-06,8.890026812320867e-06,0.009687030416083736,2
611,eco:b4386,4.2881164821852445e-14,0.004764731097701718,0.0,0.0,0.006901912016166641,2
612,eco:b0827,1.760230229486701e-07,0.07270487961997628,0.0027535376380028497,0.0027535376380028497,0.08005596340263216,2
613,eco:b3857,9.647471575629901e-09,0.06528627271464699,0.0006946074282693371,0.0006946074282693371,0.07021101136171078,2
614,eco:b1096,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
615,eco:b3177,9.272764496738591e-06,0.08876398300194546,0.001141977373585254,0.0012360722858999972,0.1020514834579038,2
616,eco:b2765,0.0012659804217459488,0.10988835410322909,0.004121416430191953,0.004121416430191953,0.1302626221559848,2
617,eco:b0785,5.829876925784441e-05,0.09385208115149378,0.005485739211656129,0.005485739211656129,0.10573957990987416,2
618,eco:b0782,3.2027782154436084e-06,0.08195389381425522,0.004121416430191953,0.004121416430191953,0.09079737861902004,2
619,eco:b1865,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
620,eco:b2303,0.001262369617904913,0.10979181967795539,0.0,0.0,0.12944651769461377,2
621,eco:b0142,8.312459713884686e-06,0.08568077335471154,0.0,0.0,0.0967365861680337,1
622,eco:b0781,0.019323615443906792,0.13197432741999918,0.00826052863018086,0.008257915331798569,0.16590823938484447,2
623,eco:b0783,0.0010613418189805526,0.1097275575651793,0.006845320645487067,0.006845320645487067,0.12784021685001046,2
624,eco:b3058,0.0001424958077126801,0.09885026738734976,0.004917891184981907,0.005181767435039558,0.11616439720357073,1
625,eco:b2315,1.8449097580599114e-05,0.09301390826103142,0.0005414125150204772,0.0006363899039198515,0.10744750353020238,1
626,eco:b2153,0.019220777387636553,0.1308687833159573,0.014362857773928773,0.014642587115597737,0.16367755385709692,1
627,eco:b2777,6.953809825521105e-05,0.09387557941918319,0.0027523523010945404,0.0027523523010945404,0.10634194272660044,2
628,eco:b0444,3.820075987077509e-06,0.08190018877243722,0.001378546824363889,0.001378546824363889,0.09053484342721385,2
629,eco:b2794,2.0927214604168786e-07,0.07260632536797398,0.0,0.0,0.07847254802705136,2
630,eco:b3360,6.370601304677477e-15,0.04482516714599852,0.0,0.0,0.054122116748970876,2
631,eco:b2877,5.291296784118593e-10,0.059250800284484456,0.0,0.0,0.06316409830122793,2
632,eco:b3368,1.3617995943865295e-11,0.053440573574717445,0.0,0.0,0.05785636968984272,2
633,eco:b3803,2.408708672579254e-10,0.05831089645415515,0.001378546824363889,0.001378546824363889,0.06499144322368913,2
634,eco:b1993,2.5736513112799357e-18,0.0030226091161890947,4.741347633237795e-06,4.741347633237795e-06,0.003627130939426913,2
635,eco:b1992,4.755463362194786e-18,0.00388621172081455,1.5409379808022836e-05,1.5409379808022836e-05,0.004352557127312296,2
636,eco:b0638,3.6396294982816596e-18,0.0030226091161890947,8.297358358166142e-06,8.297358358166142e-06,0.003627130939426913,2
637,eco:b1991,1.969729161641559e-18,0.0020925755419770654,0.0,0.0,0.002629669931084512,2
638,eco:b2459,2.5736512603313064e-18,0.0024730438223365316,0.0,0.0,0.0029017047515415306,2
639,eco:b0428,6.430576330222937e-15,0.0428208159205365,0.0,0.0,0.04604654025192053,2
640,eco:b0475,1.0122548965209527e-13,0.045892174320712076,0.001378546824363889,0.001378546824363889,0.05040815768260494,1
641,eco:b3336,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
642,eco:b0154,2.377411659160637e-05,0.09039032405984032,0.0149032409481747,0.0149032409481747,0.10165839782270722,1
643,eco:b1210,0.00043154721620962915,0.10461469425229288,0.016229632948572974,0.016229632948572974,0.12158883010352026,1
644,eco:b2400,0.007842612738051867,0.12406984255467163,0.017834045196731457,0.017826533880315805,0.15634725569437227,1
645,eco:b1270,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
646,eco:b3850,1.6926416440794456e-12,0.04942513369367488,0.0027523523010945404,0.0027523523010945404,0.05513944707403617,1
647,eco:b2436,1.46126149324662e-11,0.053524491677404376,0.0020571522043710483,0.0020571522043710483,0.05990569867061899,2
648,eco:b3867,1.46126149324662e-11,0.053524491677404376,0.0020571522043710483,0.0020571522043710483,0.059905698670619,2
649,eco:b0369,1.3121686521731044e-06,0.07953734921515011,0.013572107600143189,0.013572107600143189,0.0882073328074419,1
650,eco:b3805,7.263794052246185e-08,0.0709842984097345,0.01223623290447844,0.01223623290447844,0.07850681281920523,1
651,eco:b3804,4.054290565367855e-09,0.0640702433698253,0.010895616861180454,0.010895616861180454,0.07160695891973552,1
652,eco:b3997,2.417229225590181e-10,0.058347193308468354,0.006845320645487067,0.006845320645487067,0.06586195464915158,2
653,eco:b3187,2.0788474181606403e-11,0.055861004797410255,0.018077084467765518,0.01808233370430698,0.06552165579064242,1
654,eco:b0421,3.566115607675123e-10,0.060758234354272835,0.018700608174888084,0.018697755709577997,0.06918677352156063,1
655,eco:b2889,3.544589340795952e-10,0.060522851364038364,0.0,0.0,0.06672550609837806,2
656,eco:b2515,1.1104854730318993e-07,0.07351746356867013,0.0207806248838298,0.020772664426811832,0.07996093239084384,1
657,eco:b0029,6.118444545722678e-09,0.06654935466812524,0.019713342354982937,0.019700784016242732,0.07375080173981644,1
658,eco:b0173,0.012210111786358821,0.12853584648619049,0.025791049171858878,0.025785799935317412,0.1494784746144921,1
659,eco:b2747,0.0006705428529824334,0.1077411104023614,0.02451949875908505,0.02451511876960968,0.12000913486223655,1
660,eco:b1208,3.682385064257527e-05,0.09308318376370844,0.023259011490788784,0.023255698304530892,0.10158505350289926,1
661,eco:b2746,2.0222031462348247e-06,0.0820794799037254,0.022008876164825084,0.022006353203172735,0.08894149662168004,1
662,eco:b0174,2.0659912261275977e-11,0.055678506712239034,0.0006922367544527181,0.0006922367544527181,0.06269249365788936,1
663,eco:b0340,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
664,eco:b0339,5.349606093086618e-26,0.001088139281828074,1.1853369083094488e-06,1.1853369083094488e-06,0.001088139281828074,2
665,eco:b1468,6.860674171646463e-20,0.002176278563656148,1.7780053624641731e-06,1.7780053624641731e-06,0.002176278563656148,2
666,eco:b3366,3.909488566423635e-20,0.0014508523757707653,0.0013702494660057228,0.0013702494660057228,0.001632208922742111,2
667,eco:b4070,3.419427159683058e-06,0.0803540426861097,0.0,0.0,0.08993128742856739,2
668,eco:b2206,5.17896970753543e-20,0.0014508523757707653,0.0006863100699111709,0.0006863100699111709,0.001632208922742111,2
669,eco:b1469,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
670,eco:b0873,3.4194271596829675e-06,0.0802683225637648,0.0,0.0,0.08838975677931095,2
671,eco:b3425,1.7233173563924352e-06,0.0903232143608872,0.00012676364387261894,0.00015903270186485102,0.10162944297873597,2
672,eco:b1670,1.4438043516246208e-06,0.08604612670296716,0.0,0.0,0.09534738626142371,2
673,eco:b2764,2.4519839188850507e-05,0.09918344728351801,0.0025819565269225696,0.0023428183992736254,0.11424857333453659,2
674,eco:b0936,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
675,eco:b0367,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
676,eco:b2762,1.6580623963787605e-06,0.0903655897839981,0.002137867585892275,0.002149213370916415,0.10235486916662134,2
677,eco:b3917,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
678,eco:b4214,9.741081122613752e-08,0.07936310450127398,0.0003544157355845252,0.0003544157355845252,0.08765881078177096,2
679,eco:b0893,3.854534655374938e-08,0.071512314362048,0.0006957927651776465,0.0006957927651776465,0.07698793306454288,1
680,eco:b0194,0.0003864609832534273,0.10329973307423547,0.0,0.0,0.11908355820216569,1
681,eco:b1637,2.547431472898389e-27,0.0,0.0,0.0,0.0,1
682,eco:b4129,3.976540529194386e-24,0.002487175501321312,0.0,0.0,0.003083061298512876,2
683,eco:b0680,0.00044775695969337024,0.10368890049784779,0.00010510930130619637,9.697878600653711e-05,0.12034009999189575,1
684,eco:b2697,2.547431472898389e-27,0.0,0.0,0.0,0.0,1
685,eco:b1866,0.0011162420538592852,0.1081085137518292,0.0,0.0,0.13243658167488448,1
686,eco:b0930,2.547431472898389e-27,0.0,0.0,0.0,0.0,1
687,eco:b0026,2.547431472898389e-27,0.0,0.0,0.0,0.0,1
688,eco:b4258,0.0008996436063394221,0.11016621606335743,0.0,0.0,0.12615265885124458,1
689,eco:b0642,2.547431472898389e-27,0.0,0.0,0.0,0.0,1
690,eco:b0526,0.0012814966646547462,0.11269584135864673,0.0,0.0,0.128359595307365,1
691,eco:b1876,2.547431472898389e-27,0.0,0.0,0.0,0.0,1
692,eco:b3384,2.547431472898389e-27,0.0,0.0,0.0,0.0,1
693,eco:b2514,2.547431472898389e-27,0.0,0.0,0.0,0.0,1
694,eco:b1714,6.43050749121264e-05,0.09458604041377841,0.000545504324998199,0.00045994110927257765,0.10717574651198195,1
695,eco:b1719,2.547431472898389e-27,0.0,0.0,0.0,0.0,1
696,eco:b3560,0.009287902403221499,0.11636796407558478,0.0,0.0,0.1399115755481373,1
697,eco:b0595,1.9505718728623685e-15,0.04175267975503537,0.001378546824363889,0.001378546824363889,0.04919450965781944,2
698,eco:b0596,5.850215392162911e-16,0.039194968032638264,0.0,0.0,0.04411872604327437,2
699,eco:b3396,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
700,eco:b1329,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
701,eco:b0084,2.547431472898389e-27,0.0,0.0,0.0,0.0,1
702,eco:b0929,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
703,eco:b0433,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
704,eco:b0635,2.547431472898389e-27,0.0,0.0,0.0,0.0,1
705,eco:b4150,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
706,eco:b2215,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
707,eco:b4113,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
708,eco:b1130,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
709,eco:b4112,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
710,eco:b3035,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
711,eco:b4698,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
712,eco:b3546,2.547431472898389e-27,0.0,0.0,0.0,0.0,2
