,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,class
76,eco:b3564,7.945886308201846e-05,0.13256977660406163,0.000795399709310684,0.0008542527003300533,0.16336254924851526,2
77,eco:b3565,0.0002050036300666426,0.14382786855137364,0.005021309256910656,0.005431766741955576,0.17779270945817222,2
78,eco:b4297,0.010869293796305213,0.160312968745929,0.0,0.0,0.18507005999780596,2
79,eco:b4298,0.1985171814013615,0.19759209560510138,0.0030555047199875176,0.0028220466241733523,0.2515924786517269,2
80,eco:b2168,0.0025463709425886413,0.16145657617537468,0.0,0.0,0.19070230107079827,2
81,eco:b2705,0.0007102058475655813,0.14555161675675402,0.0038585533501534716,0.003919830606436053,0.18416485369158822,2
82,eco:b2704,6.439713252484474e-05,0.13560241855252056,0.00013625846666084148,0.00022542252733480993,0.15661815504662374,2
83,eco:b4085,0.0007077845881393297,0.14589278667590258,0.0017701016750636346,0.0017478743840021803,0.18381505095739242,2
84,eco:b4465,3.8945946328854276e-05,0.12426555550907299,0.00015741115157799114,0.00015789297574931194,0.14423308365951193,2
85,eco:b4084,2.0656765110194862e-05,0.12364839357458543,0.0,0.0,0.14341946648028794,2
86,eco:b1819,0.00010380007084673419,0.13947677336830686,0.001621593241544248,0.0029218639471505236,0.1660610563970394,2
87,eco:b1613,0.0007125667050705542,0.14567936832207593,0.009180691034211241,0.007993785002587968,0.18459837970314888,2
88,eco:b2048,4.490281848422706e-05,0.12621852494926628,0.007271442075236525,0.007271442075236525,0.14964063773036082,2
89,eco:b2049,2.4731578509404866e-06,0.1099916237960803,0.0048559932409258585,0.0048559932409258585,0.12525838863712924,2
90,eco:b2053,1.3655960839866546e-07,0.09742361199860212,0.0024321792158470174,0.0024321792158470174,0.10836203962562979,2
91,eco:b3600,0.0007048349753422828,0.14508510516458492,0.0012100480812576038,0.0012099464209531297,0.18260106343560142,2
92,eco:b2052,7.551669359513133e-09,0.0874025067447526,0.0,0.0,0.09497482189040139,2
93,eco:b0394,0.0008483971638459682,0.14636451526303806,0.003515265181882835,0.003885822233189914,0.18924846227953196,2
94,eco:b2803,0.0009978383629506058,0.14679601442360127,0.0024321792158470174,0.0024321792158470174,0.1666967104828382,2
95,eco:b2802,5.463299348027853e-05,0.12517146327924975,0.0,0.0,0.13702009495000886,2
96,eco:b2245,0.012801314056108189,0.1711106807301909,0.0024321792158470174,0.0024321792158470174,0.20317487987285682,2
97,eco:b2800,0.018170131623232007,0.17732623964560382,0.008056413130883764,0.008248257153892566,0.2156817091065646,2
98,eco:b2247,0.0007008945953251763,0.14242908493273898,0.0,0.0,0.1593359594804688,2
99,eco:b3903,5.480036571462015e-05,0.12679706669846078,0.0,0.0,0.13962535337174128,2
100,eco:b2169,0.002126604657886597,0.16320291082427255,0.023296441746451325,0.026225261747913342,0.19662715656212784,2
101,eco:b3599,1.322383533989094e-28,0.0,0.0,0.0,0.0,2
102,eco:b0757,5.216756827756909e-06,0.11958023076965789,0.0019354665165574724,0.002196954244645332,0.13830497997129265,2
