,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,local_reach_centrality,subgraph_centrality,degree_centrality,clustering_coefficient,pagerank,hits,ind_set_maximal,damage,class
13,eco:b1764,0.0008214923213151783,0.11579304971170329,0.0,0.0,0.12980363946089837,0.12980363946089837,6.749499101851231e-07,0.0016129032258064516,1.0,0.0004730582282925489,0.00010657267026309218,0.9674267100977199,1.0,2
14,eco:b3575,2.536231048962487e-07,0.09493489104215218,0.0,0.0,0.10269126291955903,0.10269126291955903,1.0950313169007468e-13,0.0008064516129032258,0.0,0.00041749538289734603,3.289526478969127e-08,0.9674267100977199,1.0,2
15,eco:b2747,0.00018731709649323942,0.11835453925697502,0.004457256955542632,0.004516119346939976,0.13080884393384473,0.13080884393384473,3.5092730559528705e-08,0.0016129032258064516,0.0,0.0006818513616233205,2.430067396677967e-05,0.9788273615635179,1.0,1
17,eco:b0181,1.3548968478104944e-08,0.08346970779468792,0.004418003502572657,0.0043370005596957625,0.09432244369435434,0.09432244369435434,3.5108750381524586e-13,0.004032258064516129,0.6,0.0013613634618082667,1.6799687199791815e-09,0.9674267100977199,1.0,1
18,eco:b4069,0.04174578798615175,0.14832401788565955,0.0015532547425404512,0.0015075978613017496,0.1906495050648245,0.1906495050648245,0.0017414946757979377,0.025,0.421505376344086,0.002123454124517799,0.0054133624213697044,0.9690553745928339,1.0,2
19,eco:b3223,4.1289878692688474e-07,0.09358566800844362,0.0016828767941064297,0.0016965316288717054,0.10678472434164979,0.10678472434164979,7.787375816335299e-13,0.004032258064516129,0.6,0.001108350885410022,5.251630369786191e-08,0.9690553745928339,1.0,2
20,eco:b1525,0.0015253373914774734,0.1372804197612977,0.0028055924112761993,0.0027534113776761094,0.1654408517110103,0.1654408517110103,2.3134260724516827e-06,0.013709677419354839,0.6470588235294118,0.0014376060873564575,0.0001970933999193382,0.9755700325732899,1.0,2
21,eco:b4177,0.0002006991606795785,0.11588262081958316,1.1691202163219832e-05,1.3106582162662767e-05,0.13974183746361205,0.13974183746361205,4.046163955549744e-08,0.0064516129032258064,0.8214285714285714,0.0007889862539217887,2.5878997598157455e-05,0.995114006514658,1.0,2
22,eco:b4015,0.01139318757414438,0.15353036952550975,0.012009673025870339,0.012965787645910467,0.19095567738712604,0.19095567738712604,0.00012965648902192166,0.017741935483870968,0.42857142857142855,0.001728664063466033,0.0014770558025433598,0.9641693811074918,1.0,2
23,eco:b1270,1.4384421240619556e-18,0.0015508684863523574,0.0,0.0,0.0019489247311827956,0.0019489247311827956,3.9584296299940217e-14,0.0008064516129032258,0.0,0.0006818092562199693,3.3731810636637275e-51,0.9674267100977199,0.00580046403712297,2
