,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,clustering_coefficient,class
236,eco:b1012,0.00015697167061572774,0.1201679956805381,0.0018531203729917416,0.0020631234594903373,0.14606775463685173,0.7142857142857143,2
237,eco:b1011,8.370567171398173e-06,0.11359260801983627,0.0013472877587900692,0.0015958419504162231,0.13195786802968568,0.3333333333333333,2
238,eco:b1010,2.156562379576336e-06,0.10760485798145265,0.0,0.0,0.12232677550958339,1.0,2
239,eco:b3831,0.00042443300898848644,0.12162982085142847,0.0002461879160320326,0.0002842987084788555,0.15202763323002724,0.5606060606060606,2
240,eco:b1009,4.420872961189003e-05,0.1221148849425608,0.0027968814489320874,0.002984527508270993,0.14394289666324497,0.4,2
241,eco:b1539,0.0006935036772622603,0.1328069716426007,0.002362697790296048,0.0027102486630269157,0.15762751937942354,0.4,2
242,eco:b1008,4.3790189751982755e-05,0.12046346653296136,0.0,0.0,0.1401029269364419,1.0,2
243,eco:b2498,0.0010939145804668355,0.13777416152687116,0.0059393987569471805,0.006026852906999692,0.17355300665964413,0.5151515151515151,2
244,eco:b1062,1.277988973420534e-06,0.1131205075939861,0.0039194867889722085,0.0046048056168184835,0.12557344118824032,0.0,2
245,eco:b2165,0.00015689667859002373,0.11717888504892464,0.001589306311866355,0.001589282166114519,0.14282440597728988,0.7142857142857143,2
246,eco:b0945,1.989402007634444e-06,0.11856847008459677,0.004182889010142352,0.0049496810805242895,0.1329027459060108,0.0,2
247,eco:b1281,0.0009821311848930425,0.14325290011390465,0.013244950545742198,0.014334690430618734,0.17525206627491705,0.6666666666666666,2
248,eco:b0171,0.00254967864079623,0.13734929026900866,0.0002071878061504714,0.0002130707585884858,0.17045180970643417,0.5,1
249,eco:b2291,0.0005319838803432674,0.12120853992814296,6.749952794288299e-05,6.875083776779047e-05,0.15066875453164916,0.4888888888888889,2
250,eco:b2166,6.46926110489804e-06,0.1009946234569272,0.0,0.0,0.1150578056542022,0.0,2
251,eco:b3517,0.0038081066621759303,0.15163259622084613,0.03223137207221567,0.03275250612135968,0.19552386919089818,0.3261538461538461,2
252,eco:b0674,0.0005042631653737865,0.1354880858378191,0.0005377871861463961,0.0005378960111832562,0.16201565633012854,0.75,2
253,eco:b1014,0.0034360657390329306,0.14271043355361313,0.003982360120520883,0.003981772667275522,0.1789296787120506,0.6416666666666667,2
254,eco:b3744,0.0004676727449619688,0.13515170162470452,0.0005207169606403792,0.0005204616808235379,0.16036531175268928,0.8095238095238095,2
255,eco:b2662,0.00033417796710573486,0.13898579245093728,0.008216742897890265,0.00883522826172977,0.16992150637417217,0.21818181818181817,2
256,eco:b2957,0.0005042631653737865,0.1354880858378191,0.0005377871861463961,0.0005378960111832562,0.16201565633012854,0.75,2
257,eco:b2661,0.0011897734245305094,0.140299232070319,0.0025210387716731587,0.0026208169644785576,0.16751355886285138,0.6666666666666666,2
258,eco:b2574,0.00446123447549856,0.15362963888038692,0.014248057830860554,0.014800368734883274,0.18635437226296822,0.36666666666666664,2
259,eco:b1525,0.0011897734245305094,0.140299232070319,0.0025210387716731587,0.0026208169644785576,0.16751355886285138,0.6666666666666666,2
260,eco:b0219,0.00510747516195326,0.15717835046183956,0.0044679122392588515,0.00624349100660216,0.18817355114961182,0.4666666666666667,2
261,eco:b3213,0.004159077482328758,0.15257705337575642,0.009453968802216826,0.010607328151570797,0.1912684673566064,0.5751633986928104,2
262,eco:b4139,0.0015883262853813352,0.14346264081685325,0.004348114313525694,0.004577830674111982,0.17446531222374506,0.4696969696969697,2
263,eco:b3729,0.00025416607718414607,0.13159412258650385,0.015954074463681675,0.015755456688657993,0.16328295540754723,0.7272727272727273,1
264,eco:b2366,0.1947938143667887,0.17269119435655758,7.097638882872796e-05,4.800589061047278e-05,0.2214890356892532,0.9466666666666667,2
265,eco:b3772,0.17263680725297487,0.17459904432984813,0.01875611800019829,0.01817543839402374,0.22597761022679402,0.6068376068376068,2
266,eco:b2551,0.018783364608345836,0.15248207855261559,0.007322631194971653,0.007511113103263208,0.1880789594880997,0.4666666666666667,2
267,eco:b2905,0.004540918265219906,0.13942086465269035,0.020822893820430823,0.01952497602228187,0.1711986689407798,0.43956043956043955,2
268,eco:b4388,0.014878928524807848,0.14430778155804236,0.00275259110716391,0.002606059830654269,0.17311625926968685,0.26666666666666666,2
269,eco:b4471,0.1693246701388939,0.17269119435655758,0.004742592758389507,0.0052498647296890105,0.22022083526436068,0.8102766798418972,2
270,eco:b0311,2.132342237245763e-05,0.10446160306813515,0.0015883514571346615,0.0015883514571346615,0.11841282930302366,0.0,2
271,eco:b0312,8.692778641576907e-07,0.09140390268461826,0.0,0.0,0.10029091977741433,0.0,2
272,eco:b2903,0.004677199847993601,0.13567569049835335,1.1569794364806014e-05,1.247896356248002e-05,0.16364337512324445,0.9777777777777777,2
273,eco:b3616,0.0009884217453194366,0.12728628692895658,8.0580075617514e-06,9.25456494880492e-06,0.14699924063362604,0.6666666666666666,2
274,eco:b3617,0.004743131705360578,0.13700361252504303,0.0008645375255429994,0.0009405083007016232,0.16695831372109918,0.696969696969697,2
275,eco:b0870,0.0118359446447233,0.15338914163730552,0.007891488015084543,0.008170844467301501,0.18993656869064904,0.47619047619047616,2
276,eco:b0004,0.007658287067028849,0.14516293878209002,0.005083932144126931,0.005234928057958526,0.17472774172991792,0.19047619047619047,2
277,eco:b0907,0.0009419760893747816,0.12957548754021525,0.0016193442220143088,0.0019093236820566305,0.1486479636914895,0.1,2
278,eco:b0003,0.0003151519018959104,0.1223588707266618,0.0003734534580097476,0.0005215059566274747,0.13928691608234628,0.0,2
279,eco:b3940,7.246722035343202e-05,0.11473651484532878,0.0008010720019388913,0.0011135452612443149,0.13069061273631505,0.0,2
280,eco:b3433,2.2055499628847417e-05,0.11664879009275093,0.0038684588003490583,0.004038398162512088,0.13319171156494364,0.0,1
281,eco:b2913,0.00014977322918747885,0.11934833578308254,0.0001543433148164371,0.0002286959554260141,0.1356527510091172,0.5,2
282,eco:b4024,0.00046609998724386455,0.13575087791342585,0.00469874284702963,0.0046007950330697375,0.16174362150967153,0.7142857142857143,2
283,eco:b3124,0.0022647856402353145,0.14009863265357558,0.000589396515827266,0.0007249856847049734,0.16481609612730375,0.4,2
284,eco:b2585,9.566921166850901e-08,0.08199580224092952,0.0002508458800166552,0.0003802465316383543,0.09356726414332982,0.4,1
285,eco:b1261,4.738216466170847e-10,0.07337500649836062,0.002380156511885373,0.002380156511885373,0.081273308167151,0.3333333333333333,2
286,eco:b1386,0.011266301194646921,0.15130479258479118,0.00561735330378346,0.005620194653058513,0.18173363935061418,0.6944444444444444,2
287,eco:b0031,3.7772273591877977e-08,0.09032539055854608,0.0005762217533248284,0.0006551161691097203,0.09951026485302907,0.0,1
288,eco:b2478,9.051824956533133e-07,0.10118234580536015,0.001970253948422368,0.002036424075875108,0.11229604333521674,0.0,1
289,eco:b3607,0.0019365782930544167,0.1323763627099578,6.174853336368069e-05,0.00010538638075317268,0.15374346666512068,0.3333333333333333,2
290,eco:b2421,0.013833834939409016,0.15697690432218964,0.0007013297662080019,0.0008693230829344206,0.1913978507286448,0.8,2
291,eco:b4019,0.010464639490764177,0.1529103989979881,0.00306166261844162,0.0029631856172022703,0.18351525152395637,0.47619047619047616,2
292,eco:b1832,0.0006313493311758193,0.12995355925452357,3.2592200463025746e-05,3.558480176820659e-05,0.14954470931075967,0.8333333333333334,2
293,eco:b2942,0.0014012388433524644,0.13026453559945594,0.0032861059096060026,0.0032286639467617295,0.15170677768610324,0.38095238095238093,1
294,eco:b4054,0.0017870110990289795,0.13485409259277562,0.0030774684642499387,0.003155332917821532,0.16152020811977277,0.19230769230769232,2
295,eco:b0261,0.010899259090964177,0.15300590830404556,0.00425406810249246,0.004196864868534448,0.18460339080578445,0.5277777777777778,2
296,eco:b3008,0.2032198367974765,0.18445968312859706,0.07316662817953741,0.06386991513206804,0.24153202316967268,0.46799431009957326,2
297,eco:b3939,0.03526132964926602,0.1554330324839955,0.008638832311895448,0.0091808935429145,0.19280027492758692,0.30303030303030304,2
298,eco:b2521,0.1957809199062096,0.18118525088371076,0.02698168085934252,0.025880367881865023,0.23104961475472882,0.8769230769230769,2
299,eco:b1919,0.16795225779113865,0.16911457314102654,6.340515443507788e-06,4.674194158853991e-06,0.21421922896351603,0.9714285714285714,2
300,eco:b3829,0.010464639490764177,0.1529103989979881,0.00306166261844162,0.0029631856172022703,0.18351525152395634,0.47619047619047616,2
301,eco:b2687,0.0027396250433523177,0.1324837529447144,0.0032057725003588793,0.003519347228561254,0.15469519599008183,0.5,2
302,eco:b4013,0.001440358267915239,0.12909747520146347,0.0015606074884676334,0.0016209914481422633,0.14878988137965304,0.0,2
303,eco:b0159,0.00011556809100363907,0.11664879009275093,0.002146271394947975,0.002570399241005029,0.1339743831310756,0.0,2
304,eco:b3770,0.026489498722880537,0.15743088637196462,0.013173641284452357,0.01348581286657728,0.19611959796943446,0.20512820512820512,2
305,eco:b2688,0.016786630464877557,0.16309085166096998,0.01944127563384902,0.01914767080385909,0.2083866411668366,0.4743083003952569,2
306,eco:b2947,0.005671138764577369,0.14184276733918758,0.00452678955958522,0.004173286020300917,0.1772823174890637,0.5166666666666667,2
307,eco:b1961,6.432621798280019e-05,0.11198283848904089,3.383957276722218e-05,4.924087073268836e-05,0.12605208538288018,0.3333333333333333,2
308,eco:b0120,6.101187072744569e-05,0.1151680579195002,0.0008113532843710856,0.0009158827792436853,0.1316797910105858,0.3333333333333333,2
309,eco:b0121,3.0820582234844525e-05,0.11356627686359617,0.006819654469456622,0.0067339316634970284,0.1376831365949977,0.35714285714285715,2
310,eco:b2917,0.003616200036232429,0.13180654247768467,0.0,0.0,0.15568930827363917,1.0,2
311,eco:b3771,0.0015329926470728187,0.1298502301589064,4.994772328408277e-05,7.274581940139131e-05,0.1513322489383425,0.6,2
